nimi,lukumaara,sukupuoli
Cia,175,N
Lisen,175,N
Ellie,175,N
Tyyni,175,N
Cornelia,174,N
Vilina,174,N
Ljudmila,174,N
Beda,173,N
Jenita,173,N
Markit,173,N
Katherine,172,N
Tiina-Liisa,171,N
Estrid,170,N
Mariette,169,N
Amélie,169,N
Samantha,169,N
Adela,169,N
Ranja,169,N
Fadumo,169,N
Eliana,168,N
Ann-Maj,168,N
Wenla,168,N
Abigail,168,N
Tarja-Leena,168,N
Jennica,168,N
Hannaleena,168,N
Eufemia,168,N
Maria-Leena,167,N
Raija-Leena,166,N
Dolores,166,N
Britt-Mari,166,N
Sara-Sofia,166,N
Celine,166,N
Rosalie,166,N
Pepita,165,N
Maari,165,N
Eevastiina,165,N
Lola,165,N
Antintytär,165,N
Francesca,164,N
Sanna-Liisa,164,N
Kaneli,164,N
Marinka,163,N
Kastanja,163,N
Lisette,163,N
Henna-Maria,163,N
Mohamud,163,N
Nilla,162,N
Ellida,162,N
Ofelia,161,N
Mia-Maria,160,N
Anna-Stina,159,N
Abdirahman,159,N
Onneli,159,N
Eleanora,159,N
Kata,159,N
Safia,158,N
Ruska,158,N
Marilla,158,N
Niia,158,N
Irinja,158,N
Sivi,157,N
Dana,157,N
Kaisa-Maria,157,N
Leia,157,N
Helén,157,N
Pulmu,157,N
Janessa,157,N
Pirjo-Leena,156,N
Miia-Maria,156,N
Friida,156,N
Oksana,155,N
Miitta,155,N
Pälvi,154,N
Anna-Elina,154,N
Virginia,154,N
Aletta,154,N
Luisa,153,N
Gisela,153,N
Mirette,153,N
Louisa,153,N
Marikka,153,N
Salla-Maria,152,N
Eva-Liisa,152,N
Lillian,152,N
Merika,151,N
Aino-Kaisa,151,N
Isadora,151,N
Milla-Maria,151,N
Laura-Maria,151,N
Katrine,150,N
Leah,150,N
Cesilia,150,N
Fiina,150,N
Tarja-Liisa,150,N
Christiina,149,N
Ragni,149,N
Jenni-Maria,149,N
Zainab,148,N
Nur,148,N
Tiia-Mari,148,N
Elice,148,N
Albertiina,148,N
Nikita,148,N
Inez,148,N
Jannina,148,N
Linne,148,N
Marjaliisa,148,N
Alida,147,N
Ilana,147,N
Darja,147,N
Menni,147,N
Renja,147,N
Janiina,147,N
Dorothea,146,N
Marttiina,146,N
Anna-Reetta,146,N
Selene,146,N
Iman,146,N
Moonika,146,N
Emeliina,145,N
Therése,145,N
Nina-Maria,145,N
Inge,145,N
Anceliga,145,N
Saara-Maria,145,N
Kiara,145,N
Alena,145,N
Cilla,144,N
Enne,144,N
Nelma,144,N
Juni,144,N
Enja,144,N
Jennina,144,N
Leena-Kaisa,143,N
Hanne-Mari,143,N
Taiga,143,N
Emili,143,N
Milda,143,N
Iréne,143,N
Farah,143,N
Ann-Lis,142,N
Anna-Kristiina,142,N
Antoinette,142,N
Xenia,142,N
Tiina-Maija,142,N
Dorrit,141,N
Tilma,141,N
Leyla,141,N
Liisa-Maria,141,N
Marielle,141,N
Mikontytär,141,N
Daisy,141,N
Annelie,140,N
Adalia,140,N
Manuela,140,N
Ewa,140,N
Arina,140,N
Hilkka-Liisa,140,N
Ulla-Maria,139,N
Suzanne,139,N
Senna,139,N
Alyssa,139,N
Anisa,139,N
Safira,138,N
Alinda,138,N
Eimi,138,N
Evgenia,138,N
